date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:10:25	4975/4975	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2022%20Jul%202024%2008:40:24%20GMT	https://www.fixoin.com/robots.txt		(from )
14:10:25	16199/16199	---M-Z	200	added ('OK')	text/html	date:Mon,%2022%20Jul%202024%2008:40:25%20GMT	https://www.fixoin.com/	hacker/www.fixoin.com/index.html	(from )
14:10:25	1150/1150	---M-Z	200	added ('OK')	image/x-icon	date:Sat,%2027%20Mar%202021%2015:14:06%20GMT	https://www.fixoin.com/images/x.ico	hacker/www.fixoin.com/images/x.ico	(from https://www.fixoin.com/)
14:10:26	3414/3414	---M-Z	200	added ('OK')	text/css	date:Sat,%2027%20Mar%202021%2015:14:05%20GMT	https://www.fixoin.com/css/front.css	hacker/www.fixoin.com/css/front.css	(from https://www.fixoin.com/)
14:10:27	1870/1870	---M-Z	200	added ('OK')	text/css	date:Sat,%2027%20Mar%202021%2015:14:05%20GMT	https://www.fixoin.com/css/style.css	hacker/www.fixoin.com/css/style.css	(from https://www.fixoin.com/)
14:10:28	5386/5386	---M-Z	200	added ('OK')	text/css	date:Sat,%2027%20Mar%202021%2015:14:05%20GMT	https://www.fixoin.com/nav/css/styles.css	hacker/www.fixoin.com/nav/css/styles.css	(from https://www.fixoin.com/)
14:10:29	121260/121260	---M-Z	200	added ('OK')	text/css	date:Sat,%2027%20Mar%202021%2015:14:05%20GMT	https://www.fixoin.com/css/bootstrap.min.css	hacker/www.fixoin.com/css/bootstrap.min.css	(from https://www.fixoin.com/)
14:10:30	31000/31000	---M-Z	200	added ('OK')	text/css	date:Sat,%2027%20Mar%202021%2015:14:06%20GMT	https://www.fixoin.com/font/css/font-awesome.min.css	hacker/www.fixoin.com/font/css/font-awesome.min.css	(from https://www.fixoin.com/)
14:10:31	37045/37045	---M-Z	200	added ('OK')	text/javascript	date:Sat,%2027%20Mar%202021%2015:14:05%20GMT	https://www.fixoin.com/js/bootstrap.min.js	hacker/www.fixoin.com/js/bootstrap.min.js	(from https://www.fixoin.com/)
14:10:32	42627/42627	---M--	200	added ('OK')	image/png	date:Sat,%2027%20Mar%202021%2015:14:06%20GMT	https://www.fixoin.com/images/FIXOIN.png	hacker/www.fixoin.com/images/FIXOIN.png	(from https://www.fixoin.com/)
14:10:33	1193/1193	---M--	200	added ('OK')	image/png	date:Sat,%2027%20Mar%202021%2015:14:06%20GMT	https://www.fixoin.com/images/facebook.png	hacker/www.fixoin.com/images/facebook.png	(from https://www.fixoin.com/)
14:10:34	10900/10900	---M--	200	added ('OK')	image/png	date:Sat,%2027%20Mar%202021%2015:14:06%20GMT	https://www.fixoin.com/images/google.png	hacker/www.fixoin.com/images/google.png	(from https://www.fixoin.com/)
14:10:35	2759/2759	---M--	200	added ('OK')	image/png	date:Sat,%2027%20Mar%202021%2015:14:06%20GMT	https://www.fixoin.com/images/twitter.png	hacker/www.fixoin.com/images/twitter.png	(from https://www.fixoin.com/)
14:10:36	1942/1942	---M--	200	added ('OK')	image/jpeg	date:Sat,%2027%20Mar%202021%2015:14:06%20GMT	https://www.fixoin.com/images/linkedin.jpg	hacker/www.fixoin.com/images/linkedin.jpg	(from https://www.fixoin.com/)
14:10:37	9843/9843	---M--	200	added ('OK')	image/png	date:Sat,%2027%20Mar%202021%2015:14:06%20GMT	https://www.fixoin.com/images/youtube.png	hacker/www.fixoin.com/images/youtube.png	(from https://www.fixoin.com/)
14:10:38	16199/16199	---M-Z	200	added ('OK')	text/html	date:Mon,%2022%20Jul%202024%2008:40:38%20GMT	https://www.fixoin.com/index.php	hacker/www.fixoin.com/index-2.html	(from https://www.fixoin.com/)
14:10:39	292/292	---M-Z	200	added ('OK')	text/html	date:Mon,%2022%20Jul%202024%2008:40:39%20GMT	https://www.fixoin.com/register.php	hacker/www.fixoin.com/register.html	(from https://www.fixoin.com/)
14:10:40	5100/5100	---M-Z	200	added ('OK')	text/html	date:Mon,%2022%20Jul%202024%2008:40:40%20GMT	https://www.fixoin.com/track.php	hacker/www.fixoin.com/track.html	(from https://www.fixoin.com/)
14:10:41	5074/5074	---M-Z	200	added ('OK')	text/html	date:Mon,%2022%20Jul%202024%2008:40:41%20GMT	https://www.fixoin.com/searchmob.php	hacker/www.fixoin.com/searchmob.html	(from https://www.fixoin.com/)
14:10:42	5315/5315	---M-Z	200	added ('OK')	text/html	date:Mon,%2022%20Jul%202024%2008:40:42%20GMT	https://www.fixoin.com/about.php	hacker/www.fixoin.com/about.html	(from https://www.fixoin.com/)
14:10:43	6597/6597	---M-Z	200	added ('OK')	text/html	date:Mon,%2022%20Jul%202024%2008:40:43%20GMT	https://www.fixoin.com/branches.php	hacker/www.fixoin.com/branches.html	(from https://www.fixoin.com/)
14:10:44	7451/7451	---M-Z	200	added ('OK')	text/html	date:Mon,%2022%20Jul%202024%2008:40:44%20GMT	https://www.fixoin.com/termsandconditions.php	hacker/www.fixoin.com/termsandconditions.html	(from https://www.fixoin.com/)
14:10:45	4514/4514	---M-Z	200	added ('OK')	text/html	date:Mon,%2022%20Jul%202024%2008:40:45%20GMT	https://www.fixoin.com/contact.php	hacker/www.fixoin.com/contact.html	(from https://www.fixoin.com/)
14:10:46	730/730	---M--	200	added ('OK')	image/gif	date:Sat,%2027%20Mar%202021%2015:14:06%20GMT	https://www.fixoin.com/images/blinking_new.gif	hacker/www.fixoin.com/images/blinking_new.gif	(from https://www.fixoin.com/)
14:10:47	45891/45891	---M--	200	added ('OK')	image/jpeg	date:Sat,%2027%20Mar%202021%2015:14:06%20GMT	https://www.fixoin.com/images/software.jpg	hacker/www.fixoin.com/images/software.jpg	(from https://www.fixoin.com/)
14:10:48	60860/60860	---M--	200	added ('OK')	image/jpeg	date:Sat,%2027%20Mar%202021%2015:14:06%20GMT	https://www.fixoin.com/images/hardware.jpg	hacker/www.fixoin.com/images/hardware.jpg	(from https://www.fixoin.com/)
14:10:49	58863/58863	---M--	200	added ('OK')	image/jpeg	date:Sat,%2027%20Mar%202021%2015:14:06%20GMT	https://www.fixoin.com/images/domain.jpg	hacker/www.fixoin.com/images/domain.jpg	(from https://www.fixoin.com/)
14:10:50	54185/54185	---M--	200	added ('OK')	image/jpeg	date:Sat,%2027%20Mar%202021%2015:14:06%20GMT	https://www.fixoin.com/images/electrical.jpg	hacker/www.fixoin.com/images/electrical.jpg	(from https://www.fixoin.com/)
14:10:51	35038/35038	---M--	200	added ('OK')	image/png	date:Sat,%2027%20Mar%202021%2015:14:06%20GMT	https://www.fixoin.com/images/beautyandspa.png	hacker/www.fixoin.com/images/beautyandspa.png	(from https://www.fixoin.com/)
14:10:52	36958/36958	---M--	200	added ('OK')	image/png	date:Sat,%2027%20Mar%202021%2015:14:06%20GMT	https://www.fixoin.com/images/pujasamagri.png	hacker/www.fixoin.com/images/pujasamagri.png	(from https://www.fixoin.com/)
14:10:53	39996/39996	---M--	200	added ('OK')	image/png	date:Sat,%2027%20Mar%202021%2015:14:06%20GMT	https://www.fixoin.com/images/astrology.png	hacker/www.fixoin.com/images/astrology.png	(from https://www.fixoin.com/)
14:10:54	68281/68281	---M--	200	added ('OK')	image/jpeg	date:Sat,%2027%20Mar%202021%2015:14:06%20GMT	https://www.fixoin.com/images/event.jpg	hacker/www.fixoin.com/images/event.jpg	(from https://www.fixoin.com/)
14:10:55	52793/52793	---M--	200	added ('OK')	image/jpeg	date:Sat,%2027%20Mar%202021%2015:14:06%20GMT	https://www.fixoin.com/images/electronics.jpg	hacker/www.fixoin.com/images/electronics.jpg	(from https://www.fixoin.com/)
14:10:56	31302/31302	---M--	200	added ('OK')	image/jpeg	date:Sat,%2027%20Mar%202021%2015:14:06%20GMT	https://www.fixoin.com/images/construction.jpg	hacker/www.fixoin.com/images/construction.jpg	(from https://www.fixoin.com/)
14:10:57	52490/52490	---M--	200	added ('OK')	image/jpeg	date:Sat,%2027%20Mar%202021%2015:14:06%20GMT	https://www.fixoin.com/images/plumbing.jpg	hacker/www.fixoin.com/images/plumbing.jpg	(from https://www.fixoin.com/)
14:10:58	34991/34991	---M--	200	added ('OK')	image/png	date:Sat,%2027%20Mar%202021%2015:14:06%20GMT	https://www.fixoin.com/images/waterpurifier.png	hacker/www.fixoin.com/images/waterpurifier.png	(from https://www.fixoin.com/)
14:10:59	54028/54028	---M--	200	added ('OK')	image/jpeg	date:Sat,%2027%20Mar%202021%2015:14:06%20GMT	https://www.fixoin.com/images/tour.jpg	hacker/www.fixoin.com/images/tour.jpg	(from https://www.fixoin.com/)
